id,created_at,updated_at,status,type,subtype,amount,currency,index,tx_id,address,confirmations,hash,senders
160964607,2021-11-02T03:01:14.737Z,2021-11-02T03:01:15.103Z,SUCCESS,DEPOSIT,FIAT,100000,CLP,8846353552.0,ba89d905-0e79-40ea-8cd2-22e2f2cff4b9,,,,
159085068,2021-10-24T13:15:35.014Z,2021-10-24T13:15:35.027Z,SUCCESS,DEPOSIT,OFFCHAIN,0.02504187,BNB,8789324594.0,0077a1bc-8021-4f03-b975-2806da0d88a0,,,,
159085054,2021-10-24T13:15:32.811Z,2021-10-24T13:15:32.854Z,SUCCESS,WITHDRAW,OFFCHAIN,10000,CLP,8789324327.0,9841650c-536f-4582-be4e-efb096c236e4,,,,
159084967,2021-10-24T13:14:54.174Z,2021-10-24T13:14:54.215Z,SUCCESS,DEPOSIT,OFFCHAIN,0.001476114235,ETH,8789321498.0,c01c2cba-a68b-478d-a298-aad223bf3261,,,,
159084964,2021-10-24T13:14:51.81Z,2021-10-24T13:14:51.841Z,SUCCESS,WITHDRAW,OFFCHAIN,5000,CLP,8789321305.0,fe12aaef-413d-413b-88a4-f391e9fc7df0,,,,
159084876,2021-10-24T13:14:14.592Z,2021-10-24T13:14:14.659Z,SUCCESS,DEPOSIT,OFFCHAIN,0.00019766,BTC,8789318501.0,059dd9b6-8723-4358-ae87-9ed70e9a7939,,,,
159084869,2021-10-24T13:14:10.942Z,2021-10-24T13:14:11.009Z,SUCCESS,WITHDRAW,OFFCHAIN,10000,CLP,8789318188.0,57a7c0e7-b94c-474d-9914-d0a4cbb69240,,,,
158624998,2021-10-21T20:03:57.905Z,2021-10-21T20:03:57.944Z,SUCCESS,DEPOSIT,OFFCHAIN,0.001493117632,ETH,8771133094.0,667b2407-07c2-4e9e-95db-af3e0cb4b801,,,,
158624983,2021-10-21T20:03:54.691Z,2021-10-21T20:03:54.777Z,SUCCESS,WITHDRAW,OFFCHAIN,5000,CLP,8771132707.0,05466cf3-df00-4f05-93c8-152a78892f55,,,,
158624819,2021-10-21T20:03:05.776Z,2021-10-21T20:03:06.305Z,SUCCESS,DEPOSIT,FIAT,30000,CLP,8771128318.0,0cbfc255-2454-44e2-be92-d7f823347525,,,,
